stop_id,stop_name,stop_lat,stop_lon,stop_url
1424,EL POLVORÍN,28.4483,-16.2957,http://www.titsa.com/correspondencias.php?idc=1424
1438,GRAN TINERFE,28.4494,-16.2967,http://www.titsa.com/correspondencias.php?idc=1438
1440,SAN AMADEO,28.4518,-16.2984,http://www.titsa.com/correspondencias.php?idc=1440
1441,SAN MIGUEL DE CHIMISAY,28.4528,-16.2992,http://www.titsa.com/correspondencias.php?idc=1441
1442,SAN DAMIÁN,28.4524,-16.3004,http://www.titsa.com/correspondencias.php?idc=1442
1443,LUIS FRANCO CASCÓN,28.4512,-16.3021,http://www.titsa.com/correspondencias.php?idc=1443
1444,COLEGIO LOS ANDENES,28.4497,-16.3047,http://www.titsa.com/correspondencias.php?idc=1444
1445,SOROLLA,28.4483,-16.3061,http://www.titsa.com/correspondencias.php?idc=1445
1446,VOLCÁN TINGUATÓN,28.4445,-16.3103,http://www.titsa.com/correspondencias.php?idc=1446
1447,TABOBO,28.4423,-16.3136,http://www.titsa.com/correspondencias.php?idc=1447
